,CountryName,schools,events,lockdown,emergency,localities_extended,twoplus,,,
1,Austria,3/12/2020,3/11/2020,3/16/2020,,,,,,
2,Belgium,3/12/2020,3/12/2020,3/17/2020,3/15/2020,,spcial emergency gov,,,
3,Bulgaria,3/13/2020,3/13/2020,3/13/2020,3/13/2020,3/21/2020,3/17/2020,,,
4,Croatia,3/13/2020,3/18/2020,3/17/2020,,,,,,
5,Cyprus,3/13/2020,3/10/2020,3/24/2020,,,,,,
6,Czechia,3/10/2020,3/10/2020,3/16/2020,3/12/2020,,,,,
7,Denmark,3/14/2020,3/9/2020,3/13/2020,3/18/2020,3/18/2020,check for emergency state,,,school closures announced on 11/03
8,Estonia,3/16/2020,3/13/2020,NA,,,,,,
9,Finland,3/18/2020,3/18/2020,NA,,,,,,
10,France,3/14/2020,2/29/2020,3/17/2020,3/22/2020,,public health emergency,,,
11,Germany,3/18/2020,3/20/2020,3/22/2020,3/25/2020,,not quie state of emergency but similar,,,schol closures announced on 16/03
12,Greece,3/11/2020,3/9/2020,3/23/2020,,,,,,
13,Hungary,3/16/2020,3/11/2020,3/28/2020,,,,,,
14,Iceland,3/17/2020,3/16/2020,NA,,,,,,
15,Ireland,3/12/2020,3/12/2020,3/27/2020,3/19/2020,,emergency bill,,,
16,Italy,3/4/2020,3/4/2020,3/12/2020,,,,,,
17,Latvia,3/12/2020,3/12/2020,NA,,,,,,
18,Lithuania,3/12/2020,3/12/2020,3/16/2020,,,,,,
19,Luxembourg,3/13/2020,3/12/2020,3/15/2020,,,,,,
20,Malta,3/12/2020,3/12/2020,NA,,,,,,
21,Netherlands,3/15/2020,3/12/2020,3/23/2020,NA,,,,,
22,Norway,3/12/2020,3/12/2020,3/12/2020,,,,,,
23,Poland,3/12/2020,3/10/2020,3/12/2020,,,,,,
24,Portugal,3/16/2020,3/10/2020,3/19/2020,3/18/2020,,,,alerted state from 03/13!,
25,Romania,3/9/2020,3/8/2020,3/25/2020,3/14/2020,,,,,
26,Slovakia,3/12/2020,3/10/2020,3/12/2020,,,,,,
27,Slovenia,3/12/2020,3/7/2020,3/20/2020,,,,,,
28,Spain,3/14/2020,3/14/2020,3/14/2020,3/14/2020,,,,,
29,Sweden,NA,3/12/2020,NA,,,,,,
30,Switzerland,3/13/2020,3/14/2020,NA,3/16/2020,,28/02 already ban on big events,,,is it state of emergency? Special for epidemics
31,United Kingdom,3/23/2020,3/21/2020,3/23/2020,,,,,,
