,CountryName,schools,events,lockdown,emergency_powers,emergency_state
1,Austria,3/12/2020,3/11/2020,3/16/2020,NA,NA
2,Belgium,3/12/2020,3/12/2020,3/17/2020,3/15/2020,NA
3,Bulgaria,3/13/2020,3/13/2020,3/13/2020,3/13/2020,3/13/2020
4,Croatia,3/13/2020,3/18/2020,3/17/2020,NA,NA
5,Cyprus,3/13/2020,3/10/2020,3/24/2020,3/15/2020,3/15/2020
6,Czechia,3/10/2020,3/10/2020,3/16/2020,3/12/2020,3/12/2020
7,Denmark,3/11/2020,3/9/2020,3/13/2020,3/18/2020,NA
8,Estonia,3/16/2020,3/13/2020,NA,3/12/2020,3/12/2020
9,Finland,3/16/2020,3/16/2020,NA,3/16/2020,3/16/2020
10,France,3/14/2020,2/29/2020,3/17/2020,3/22/2020,NA
11,Germany,3/16/2020,3/20/2020,3/22/2020,3/25/2020,NA
12,Greece,3/11/2020,3/9/2020,3/23/2020,NA,NA
13,Hungary,3/16/2020,3/11/2020,3/28/2020,3/11/2020,3/11/2020
14,Iceland,3/17/2020,3/16/2020,NA,NA,NA
15,Ireland,3/12/2020,3/12/2020,3/27/2020,3/19/2020,NA
16,Italy,3/4/2020,3/4/2020,3/12/2020,1/31/2020,1/31/2020
17,Latvia,3/12/2020,3/12/2020,NA,3/12/2020,3/12/2020
18,Lithuania,3/12/2020,3/12/2020,3/16/2020,2/26/2020,2/26/2020
19,Luxembourg,3/13/2020,3/12/2020,3/15/2020,3/18/2020,3/18/2020
20,Malta,3/12/2020,3/12/2020,NA,4/1/2020,4/1/2020
21,Netherlands,3/15/2020,3/12/2020,3/23/2020,NA,NA
22,Norway,3/12/2020,3/12/2020,3/12/2020,3/21/2020,NA
23,Poland,3/12/2020,3/10/2020,3/12/2020,NA,NA
24,Portugal,3/16/2020,3/10/2020,3/19/2020,3/18/2020,3/18/2020
25,Romania,3/9/2020,3/8/2020,3/25/2020,3/14/2020,3/14/2020
26,Slovakia,3/12/2020,3/10/2020,3/12/2020,3/15/2020,3/15/2020
27,Slovenia,3/12/2020,3/7/2020,3/20/2020,3/12/2020,3/12/2020
28,Spain,3/14/2020,3/14/2020,3/14/2020,3/14/2020,3/14/2020
29,Sweden,NA,3/12/2020,NA,NA,NA
30,Switzerland,3/13/2020,3/14/2020,NA,3/16/2020,NA
31,United Kingdom,3/23/2020,3/21/2020,3/23/2020,3/25/2020,NA
