"","country","cases","deaths","geoId","popData2018","iso3c","date","date2","miss","total.pop","cum.cases","cum.deaths","total.cases","total.deaths","total.cum.cases","total.cum.deaths","cases.pc","deaths.pc","cum.cases.pc","cum.deaths.pc","X","mindate","schools","events","lockdown","school.d","events.d","lockdown.d","remove.school","remove.events","remove.lockdown","CC.EST","GE.EST","PV.EST","RL.EST","RQ.EST","free","rai","country_code","country_id","cabinet_id","n_parties","caretaker","minority","gov_start_date","pm_party_en","pm_party_local","pm_party_family","party_id","hm_party_en","hm_party_loc","hm_party_family","party_id_health","hm_min_name","hm_min_type","hm_medic","federalism","sgi_experts","mindate.p","schools.p","events.p","lockdown.p","notes"
"58","Austria",64,0,"AT",8847037,"AUT",2020-03-12,18333,FALSE,534379900,246,0,4825,233,22744,947,7,0,28,0,1,"2020-01-01","2020-03-12","2020-03-11","2020-03-16",1,1,0,FALSE,TRUE,FALSE,1.596262,1.453342,0.9175232,1.875834,1.544717,93,23,40,59,1609,2,0,0,"07-01-2020","Austrian People's Party","Österreichische Volkspartei","Christian democracy",1013,"Greens","Die Grüne","Green Ecologist",1429,"Social Affairs, Health, Care, and Consumer Protection","shared",0,1,4,2020-01-01,2020-03-12,2020-03-11,2020-03-16,NA
"145","Belgium",160,0,"BE",11422068,"BEL",2020-03-14,18335,FALSE,534379900,559,3,6760,312,35907,1507,14,0,49,0,2,"2020-01-01","2020-03-14","2020-03-14","2020-03-18",1,1,0,FALSE,FALSE,FALSE,1.510279,1.171748,0.412356,1.3679,1.233861,96,34.9,56,64,1622,3,1,1,"27-10-2019","Reformist Movement","Mouvement Réformateur","Liberal",915,"Flemish Liberals and Democrats","Vlaamse Liberalen en Democraten  Open VLD","Liberal",1110,"Asylum, Migration, Health, and Social Affairs","shared",1,1,6,2020-01-01,2020-03-14,2020-03-14,2020-03-18,NA
"221","Bulgaria",0,0,"BG",7024216,"BGR",2020-03-05,18326,TRUE,534379900,0,0,914,28,4253,112,0,0,0,0,3,"2020-01-01","2020-03-05","2020-03-13","2020-03-13",1,0,0,FALSE,FALSE,FALSE,-0.1515335,0.2718757,0.4196386,-0.029567,0.5765803,80,2,100,10,1505,2,0,0,"04-05-2017","Citizens for European Development of Bulgaria","Grazhdani za Evropeysko Razvitie na Balgariya","Conservative",1541,"Citizens for European Development of Bulgaria","Grazhdani za Evropeysko Razvitie na Balgariya","Conservative",1541,"Health","single",0,0,5,2020-01-01,2020-03-05,2020-03-13,2020-03-13,NA
"314","Croatia",9,0,"HR",4089400,"HRV",2020-03-13,18334,FALSE,534379900,25,0,6403,248,29147,1195,2,0,6,0,4,"2020-01-01","2020-03-13","2020-03-18","2020-03-17",1,0,0,FALSE,FALSE,FALSE,0.1316391,0.4569183,0.7688776,0.324786,0.4473468,85,9,191,62,1512,2,0,1,"09-07-2017","Croatian Democratic Union","Hrvatska demokratska zajednica","Christian democracy",276,"Croatian Democratic Union","Hrvatska demokratska zajednica","Christian democracy",276,"Health","single",1,0,4,2020-01-01,2020-03-13,2020-03-18,2020-03-17,NA
"399","Cyprus",0,0,"CY",1189265,"CYP",2020-03-13,18334,TRUE,534379900,6,0,6403,248,29147,1195,0,0,5,0,5,"2020-03-10","2020-03-13","2020-03-10","2020-03-24",1,1,0,FALSE,TRUE,FALSE,0.6399662,0.9209022,0.543319,0.7534632,1.017323,94,0,196,51,1492,2,0,1,"22-05-2016","Democratic Rally","Dimokratikós Sinayermós","Conservative",1575,"Independent","independent",NA,NA,"Health","single",0,0,3,2020-03-10,2020-03-13,2020-03-10,2020-03-24,NA
"482","Czech_Republic",23,0,"CZ",NA,"CZE",2020-03-11,18332,FALSE,534379900,63,0,2656,180,17919,714,NA,NA,NA,NA,6,"2020-01-01","2020-03-11","2020-03-11","2020-03-16",1,1,0,FALSE,FALSE,FALSE,0.5037321,0.9222081,1.040143,1.04966,1.261501,91,12.3,203,68,1534,2,0,1,"27-06-2018","Action of Dissatisfied Citizens","Akce nespokojených obcanu","Liberal",2263,"Action of Dissatisfied Citizens","Akce nespokojených obcanu","Liberal",2263,"Health","single",0,0,6,2020-01-01,2020-03-11,2020-03-11,2020-03-16,NA
"569","Denmark",160,0,"DK",5797446,"DNK",2020-03-13,18334,FALSE,534379900,676,0,6403,248,29147,1195,28,0,117,0,7,"2020-01-01","2020-03-13","2020-03-09","2020-03-13",1,1,1,FALSE,TRUE,FALSE,2.147795,1.871631,0.9590668,1.833378,1.67705,97,7.3,208,21,1598,1,0,1,"27-06-2019","Social Democrats","Socialdemokraterne","Social democracy",1629,"Social Democrats","Socialdemokraterne","Social democracy",1629,"Health and Elderly Affairs","shared",0,0,8,2020-01-01,2020-03-13,2020-03-09,2020-03-13,NA
"657","Estonia",56,0,"EE",1320884,"EST",2020-03-16,18337,FALSE,534379900,171,0,9434,591,53964,2329,42,0,129,0,8,"2020-01-01","2020-03-16","2020-03-13",NA,1,1,0,FALSE,TRUE,FALSE,1.506318,1.191938,0.5999668,1.240627,1.562708,94,0,233,75,1595,3,0,0,"29-04-2019","Estonian Centre Party","Eesti Keskerakond","Social democracy",1137,"Estonian Centre Party","Eesti Keskerakond","Social democracy",1137,"Social Affairs","subsumed",0,0,7,2020-01-01,2020-03-16,2020-03-13,NA,"Health care is under portfolio of Ministry of Social Affairs"
"744","Finland",47,0,"FI",5518050,"FIN",2020-03-18,18339,FALSE,534379900,319,0,10341,593,73632,3347,9,0,58,0,9,"2020-01-01","2020-03-18","2020-03-18",NA,1,1,0,FALSE,FALSE,FALSE,2.21243,1.984208,0.9249202,2.046279,1.786545,100,7,246,67,1607,5,0,0,"10-12-2019","Social Democratic Party of Finland","Suomen Sosialidemokraattinen Puolue – Finlands Socialdemokratiska Parti","Social democracy",395,"Democratic Union - Left Alliance","Demokraattinen Liitto – Demokratiska Förbundet | Vasemmistoliitto – Vänsterförbundet","Communist Socialist",1292,"Social Affairs and Health","shared",0,1,7,2020-01-01,2020-03-18,2020-03-18,NA,NA
"827","France",924,36,"FR",66987244,"FRA",2020-03-16,18337,FALSE,534379900,5423,127,9434,591,53964,2329,14,1,81,2,10,"2020-01-01","2020-03-16","2020-02-29","2020-03-17",1,1,0,FALSE,TRUE,FALSE,1.316893,1.480526,0.1091348,1.440087,1.173062,90,22.2,250,43,1509,4,0,0,"21-06-2017","Union for a Popular Movement - The Republicans","Union pour un mouvement populaire - Les Républicains","Conservative",658,"The Republic Onwards!","La République en Marche!","Liberal",2643,"Solidarity and Health","shared",1,0,4,2020-01-01,2020-03-16,2020-02-29,2020-03-17,NA
